"survey_no_answer_nb_employees.tex","00_run.R","tex","numbers"
"survey_dont_know_value_transactions.tex","00_run.R","tex","numbers"
"survey_no_answer_value_transactions.tex","00_run.R","tex","numbers"
"survey_dont_know_percent_sales.tex","00_run.R","tex","numbers"
"survey_no_answer_percent_sales.tex","00_run.R","tex","numbers"
"survey_dont_know_recall_old_fee.tex","00_run.R","tex","numbers"
"survey_no_answer_recall_old_fee.tex","00_run.R","tex","numbers"
"survey_no_answer_nb_employees.tex","00_run.R","tex","numbers"
"survey_dont_know_monthly_profits.tex","00_run.R","tex","numbers"
"survey_no_answer_monthly_profits.tex","00_run.R","tex","numbers"
"survey_no_answer_firstemail_recall.tex","00_run.R","tex","numbers"
"survey_no_answer_recall_sms.tex","00_run.R","tex","numbers"
"survey_dont_know_read_sms.tex","00_run.R","tex","numbers"
"survey_dont_know_click_recall.tex","00_run.R","tex","numbers"
"survey_dont_know_accept_offer_recall.tex","00_run.R","tex","numbers"
"survey_no_answer_accept_offer_recall.tex","00_run.R","tex","numbers"
"survey_dont_know_form_time_cat_alt.tex","00_run.R","tex","numbers"
"survey_no_answer_form_time_cat_alt.tex","00_run.R","tex","numbers"
"survey_dont_know_exp_form_time_cat_alt.tex","00_run.R","tex","numbers"
"survey_no_answer_exp_form_time_cat_alt.tex","00_run.R","tex","numbers"
"survey_dont_know_offer_effect_time.tex","00_run.R","tex","numbers"
"survey_no_answer_offer_effect_time.tex","00_run.R","tex","numbers"
"survey_no_answer_noticed_deadline.tex","00_run.R","tex","numbers"
"survey_other_why_deadline.tex","00_run.R","tex","numbers"
"survey_dont_know_why_deadline.tex","00_run.R","tex","numbers"
"survey_no_answer_why_deadline.tex","00_run.R","tex","numbers"
"survey_other_why_activate_firstday.tex","00_run.R","tex","numbers"
"survey_dont_know_why_activate_firstday.tex","00_run.R","tex","numbers"
"survey_other_why_activate_later.tex","00_run.R","tex","numbers"
"survey_dont_know_why_activate_later.tex","00_run.R","tex","numbers"
"survey_no_answer_why_activate_later.tex","00_run.R","tex","numbers"
"survey_no_answer_reminder_recall.tex","00_run.R","tex","numbers"
"survey_other_why_reminder.tex","00_run.R","tex","numbers"
"survey_dont_know_why_reminder.tex","00_run.R","tex","numbers"
"survey_other_reminder_feel_cat.tex","00_run.R","tex","numbers"
"survey_dont_know_reminder_feel_cat.tex","00_run.R","tex","numbers"
"survey_dont_know_offer_value_change.tex","00_run.R","tex","numbers"
"survey_dont_know_a_reminder_takeup.tex","00_run.R","tex","numbers"
"survey_no_answer_a_reminder_takeup.tex","00_run.R","tex","numbers"
"survey_other_offer_impact_cat.tex","00_run.R","tex","numbers"
"survey_dont_know_offer_impact_cat.tex","00_run.R","tex","numbers"
"survey_no_answer_offer_impact_cat.tex","00_run.R","tex","numbers"
"survey_no_answer_trust_scale_1.tex","00_run.R","tex","numbers"
"survey_successful.csv","00_run.R","csv","proc"
"fintech_fee.csv","00_run.R","csv","proc"
"fintech_fee_light.csv","00_run.R","csv","proc"
"balance_table_data.csv","00_run.R","csv","proc"
"baseline_treatment_balance_fastdl.tex","00_run.R","tex","tables"
"balance_valid_volume_usd_w5.tex","00_run.R","tex","numbers"
"balance_nr_valid_payments_w5.tex","00_run.R","tex","numbers"
"survey_balance_sample.tex","00_run.R","tex","tables"
"survey_balance_rrates.tex","00_run.R","tex","tables"
"survey_baseline_treatment_balance.tex","00_run.R","tex","tables"
"survey_balance_sample.tex","00_run.R","tex","tables"
"survey_baseline_treatment_balance.tex","00_run.R","tex","tables"
"account_logins.tex","00_run.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"effect_timing_all.tex","24_takeup_pooled_reminder.R","tex","tables"
"effect_timing_all.tex","24_takeup_pooled_reminder.R","tex","tables"
"effect_timing_all.tex","11_takeup_pooled_reminder.R","tex","tables"
"effect_timing_all.tex","11_takeup_pooled_reminder.R","tex","tables"
"survey_num_value_transactions_abovezero.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_missing.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_zero.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_does_not_know.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_refuses_to_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_refuses_to_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_does_not_know.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_valid_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_abovezero.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_missing.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_zero.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_does_not_know.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_refuses_to_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_refuses_to_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_does_not_know.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_valid_answer.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_percent_sales_using_tech_full.tex","12_het_survey_pct_sales.R","tex","numbers"
"survey_num_value_transactions_abovezero.tex","00_run.R","tex","numbers"
"survey_num_value_transactions_missing.tex","00_run.R","tex","numbers"
"survey_num_value_transactions_zero.tex","00_run.R","tex","numbers"
"survey_num_value_transactions_does_not_know.tex","00_run.R","tex","numbers"
"survey_num_value_transactions_refuses_to_answer.tex","00_run.R","tex","numbers"
"survey_num_percent_sales_refuses_to_answer.tex","00_run.R","tex","numbers"
"survey_num_percent_sales_does_not_know.tex","00_run.R","tex","numbers"
"survey_num_percent_sales_valid_answer.tex","00_run.R","tex","numbers"
"survey_num_percent_sales_using_tech_full.tex","00_run.R","tex","numbers"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"account_logins.tex","10_account_logins.R","tex","tables"
"stat_pct_change_sale_median_rem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_antrem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_dl.tex","14_het_admin_data.R","tex","numbers"
"het_admin_data_main_rem.tex","14_het_admin_data.R","tex","tables"
"stat_pct_change_sale_median_rem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_antrem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_dl.tex","14_het_admin_data.R","tex","numbers"
"het_admin_data_main_rem.tex","14_het_admin_data.R","tex","tables"
"het_admin_data_main_antrem.tex","14_het_admin_data.R","tex","tables"
"het_admin_data_main_dl.tex","14_het_admin_data.R","tex","tables"
"het_admin_data_buss_type_all.tex","14_het_admin_data.R","tex","tables"
"stat_pct_change_sale_median_rem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_antrem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_dl.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_rem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_antrem.tex","14_het_admin_data.R","tex","numbers"
"stat_pct_change_sale_median_dl.tex","14_het_admin_data.R","tex","numbers"
"het_admin_data_buss_type_all.tex","14_het_admin_data.R","tex","tables"
"usage_het_trim5_res_late.pdf","17_het_months_using_tech.R","pdf","figures"
"pres_usage_het_trim5_res_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_res_late_postgeom.pdf","17_het_months_using_tech.R","pdf","figures"
"pres_usage_het_trim5_res_late_postgeom.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_both_res_late.pdf","17_het_months_using_tech.R","pdf","figures"
"pres_usage_het_trim5_both_res_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.eps","17_het_months_using_tech.R","eps","figures"
"usage_het_trim5_nonres_late.eps","17_het_months_using_tech.R","eps","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"usage_het_trim5_nonres_late.pdf","17_het_months_using_tech.R","pdf","figures"
"n_emp_n_max.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_census_leq_5.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_survey_leq_5.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_survey_leq_20.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_census_leq_20.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_census_leq_150.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_pct_census_leq_150.tex","18_n_emp_hist.R","tex","numbers"
"hist_survey_nemployees_comp.pdf","18_n_emp_hist.R","pdf","figures"
"n_emp_census_n_firms.tex","18_n_emp_hist.R","tex","numbers"
"n_emp_n_omit.tex","18_n_emp_hist.R","tex","numbers"
"n_q_n_omit.tex","18_n_emp_hist.R","tex","numbers"
"survey_non_adoption_all_pct.eps","19_non_adoption_bar_plot.R","eps","figures"
"survey_non_adoption_other.tex","19_non_adoption_bar_plot.R","tex","numbers"
"survey_non_adoption_dna.tex","19_non_adoption_bar_plot.R","tex","numbers"
"survey_non_adoption_n.tex","19_non_adoption_bar_plot.R","tex","numbers"
"survey_non_adoption_forgot.tex","19_non_adoption_bar_plot.R","tex","numbers"
"survey_non_adoption_open_email_dont_remember.tex","19_non_adoption_bar_plot.R","tex","numbers"
"offer_perception_change.tex","20_reminder.R","tex","numbers"
"survey_offer_value_change.eps","20_reminder.R","eps","figures"
"survey_num_why_reminder.tex","20_reminder.R","tex","numbers"
"survey_pct_why_reminder_normal.tex","20_reminder.R","tex","numbers"
"survey_pct_why_reminder_suspicious.tex","20_reminder.R","tex","numbers"
"survey_num_reminder_feel.tex","20_reminder.R","tex","numbers"
"survey_pct_reminder_feel_cat_irritated.tex","20_reminder.R","tex","numbers"
"pres_survey_pct_reminder_feel_cat_irritated.tex","20_reminder.R","tex","numbers"
"survey_pct_reminder_feel_cat_irritated_antrem.tex","20_reminder.R","tex","numbers"
"survey_pct_reminder_feel_cat_irritated_unantrem.tex","20_reminder.R","tex","numbers"
"survey_pct_reminder_feel_cat_irritated_diff.tex","20_reminder.R","tex","numbers"
"offer_perception_change.tex","20_reminder.R","tex","numbers"
"survey_offer_value_change.eps","20_reminder.R","eps","figures"
"coef_offer_value_change.tex","20_reminder.R","tex","numbers"
"mean_offer_value_change_antrem.tex","20_reminder.R","tex","numbers"
"mean_offer_value_change_unantrem.tex","20_reminder.R","tex","numbers"
"survey_num_data_percent_sales.tex","21b_survey_histograms.R","tex","numbers"
"survey_num_data_percent_sales_response_sample.tex","21b_survey_histograms.R","tex","numbers"
"survey_fee_diff.eps","21b_survey_histograms.R","eps","figures"
"fee_prior_receive_offer.tex","21b_survey_histograms.R","tex","numbers"
"het_survey_measures_unantrem_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_unantrem_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_dl_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_dl_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_antrem_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_antrem_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_unantrem_late.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_unantrem_late.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_dl_late.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_dl_late.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_antrem_late.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_antrem_late.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_unantrem_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_unantrem_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_dl_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_dl_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_antrem_late_wt.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_antrem_late_wt.csv","15a_survey_measure_tables.R","csv","proc"
"het_survey_measures_unantrem_late.tex","15a_survey_measure_tables.R","tex","tables"
"het_survey_measures_unantrem_late.csv","15a_survey_measure_tables.R","csv","proc"
